City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
upernavik,64.0,GL,1536356119.0,98.0,72.79,-56.15,3.98,5.8
egvekinot,12.0,RU,1536356120.0,88.0,66.32,-179.17,7.73,1.5
urla,0.0,TR,1536353400.0,47.0,38.32,26.77,24.0,4.6
kintampo,12.0,GH,1536356121.0,89.0,8.05,-1.73,22.48,4.6
skibbereen,75.0,IE,1536355800.0,100.0,51.55,-9.27,13.0,3.6
hilo,1.0,US,1536353760.0,74.0,19.71,-155.08,28.3,4.6
praia,0.0,BR,1536354000.0,36.0,-20.25,-43.81,28.0,4.1
umm kaddadah,88.0,SD,1536356123.0,98.0,13.6,26.69,20.23,3.15
feijo,75.0,EC,1536354000.0,33.0,-3.63,-79.92,32.0,3.6
paramonga,48.0,PE,1536356124.0,95.0,-10.68,-77.82,17.08,5.05
narsaq,88.0,GL,1536353400.0,81.0,60.91,-46.05,6.0,2.6
sao filipe,48.0,CV,1536356124.0,100.0,14.9,-24.5,25.38,1.5
tiksi,92.0,RU,1536356125.0,100.0,71.64,128.87,3.63,5.2
almaznyy,88.0,RU,1536356125.0,38.0,48.03,40.04,20.18,4.1
saint-georges,0.0,CA,1536356126.0,50.0,46.12,-70.67,18.18,2.85
tilichiki,92.0,RU,1536356127.0,99.0,60.47,166.1,11.48,1.8
twentynine palms,1.0,US,1536353760.0,11.0,34.14,-116.05,45.0,1.65
lagoa,20.0,PT,1536354000.0,82.0,37.14,-8.45,20.0,3.1
los algarrobos,75.0,EC,1536354000.0,33.0,-3.25,-79.94,32.0,3.6
dandong,0.0,CN,1536356129.0,88.0,40.12,124.37,9.73,1.65
cidreira,0.0,BR,1536356129.0,74.0,-30.17,-50.22,19.63,2.3
coxim,0.0,BR,1536355968.0,26.0,-18.5,-54.75,31.68,1.75
mangrol,92.0,IN,1536356130.0,99.0,25.33,76.51,22.23,4.0
belyy yar,56.0,RU,1536354000.0,100.0,53.6,91.39,9.0,1.0
surt,0.0,LY,1536356131.0,83.0,31.21,16.59,27.98,5.75
rapid city,1.0,US,1536353760.0,22.0,44.08,-103.23,31.0,5.7
codrington,88.0,AU,1536356132.0,97.0,-28.95,153.24,15.48,2.3
kedrovyy,36.0,RU,1536354000.0,100.0,56.17,91.82,5.0,2.5
loviisa,0.0,FI,1536355200.0,87.0,60.46,26.23,14.0,3.1
hartselle,40.0,US,1536353880.0,41.0,34.44,-86.94,36.0,5.1
abu kamal,0.0,SY,1536356134.0,39.0,34.45,40.92,24.08,3.65
chuy,0.0,UY,1536356135.0,83.0,-33.69,-53.46,15.38,4.15
mocuba,0.0,MZ,1536356135.0,47.0,-16.84,36.99,24.53,4.1
kaeo,0.0,NZ,1536356135.0,76.0,-35.1,173.78,12.98,5.1
jasper,1.0,US,1536353760.0,41.0,33.83,-87.28,36.0,2.1
valleyview,88.0,CA,1536356137.0,81.0,55.07,-117.28,17.83,2.05
saint-pierre,0.0,FR,1536354000.0,76.0,48.95,4.24,11.0,0.5
katherine,0.0,AU,1536354000.0,69.0,-14.47,132.26,24.0,1.0
necochea,0.0,AR,1536355850.0,43.0,-38.55,-58.74,14.33,3.85
san patricio,0.0,PY,1536356139.0,65.0,-26.98,-56.83,24.83,1.2
panalingaan,8.0,PH,1536356140.0,100.0,8.78,117.42,25.13,2.35
timmins,20.0,CA,1536354000.0,48.0,48.48,-81.33,15.0,6.7
dikson,88.0,RU,1536356141.0,100.0,73.51,80.55,3.43,5.1
vardo,20.0,US,1536353700.0,59.0,39.62,-77.74,31.0,3.6
sisimiut,56.0,GL,1536356141.0,73.0,66.94,-53.67,6.53,0.95
iwanai,80.0,JP,1536356142.0,100.0,42.97,140.51,17.88,6.0
lompoc,1.0,US,1536353760.0,68.0,34.64,-120.46,32.0,7.2
arraial do cabo,75.0,BR,1536354000.0,60.0,-22.97,-42.02,21.0,5.1
vestmannaeyjar,36.0,IS,1536356143.0,90.0,63.44,-20.27,10.53,12.4
springbok,24.0,ZA,1536356144.0,90.0,-29.67,17.88,1.13,2.8
umarkhed,64.0,IN,1536356144.0,80.0,19.6,77.69,22.13,4.35
chapais,20.0,CA,1536354000.0,35.0,49.78,-74.86,13.0,6.7
kavieng,44.0,PG,1536356145.0,100.0,-2.57,150.8,27.88,1.5
kirakira,92.0,SB,1536356146.0,100.0,-10.46,161.92,25.53,4.3
llangefni,48.0,GB,1536353400.0,77.0,53.26,-4.31,15.0,5.1
hobyo,8.0,SO,1536356147.0,87.0,5.35,48.53,24.28,8.35
maniitsoq,76.0,GL,1536356147.0,100.0,65.42,-52.9,4.93,1.85
yeppoon,40.0,AU,1536354000.0,100.0,-23.13,150.74,16.0,1.0
makakilo city,75.0,US,1536353820.0,53.0,21.35,-158.09,31.1,2.1
pisco,0.0,PE,1536354000.0,30.0,-13.71,-76.2,22.0,5.1
sembabule,20.0,UG,1536356149.0,85.0,-0.08,31.46,15.08,1.2
hasaki,75.0,JP,1536354000.0,88.0,35.73,140.83,27.0,4.6
vaini,92.0,IN,1536356151.0,99.0,15.34,74.49,20.73,2.6
upata,12.0,VE,1536356151.0,82.0,8.02,-62.41,27.23,1.05
saskylakh,68.0,RU,1536356152.0,76.0,71.97,114.09,0.33,2.05
emilio carranza,76.0,MX,1536356152.0,97.0,19.97,-96.61,25.03,1.55
saint-philippe,1.0,CA,1536354000.0,43.0,45.36,-73.48,22.4,4.1
kruisfontein,32.0,ZA,1536356154.0,100.0,-34.0,24.73,11.38,6.9
qaanaaq,0.0,GL,1536356154.0,100.0,77.48,-69.36,-1.22,2.05
hamilton,90.0,BM,1536353700.0,74.0,32.3,-64.78,27.0,4.1
bathsheba,20.0,BB,1536354000.0,74.0,13.22,-59.52,29.0,6.2
alice springs,0.0,AU,1536354000.0,45.0,-23.7,133.88,7.0,2.1
fukue,75.0,JP,1536354720.0,83.0,35.03,136.69,27.0,4.6
asyut,0.0,EG,1536350400.0,45.0,27.18,31.19,28.0,4.1
bilibino,0.0,RU,1536356158.0,66.0,68.06,166.44,11.83,1.1
sumbe,12.0,AO,1536356158.0,100.0,-11.2,13.84,20.53,2.85
zhangye,0.0,CN,1536356159.0,79.0,38.94,100.46,4.73,0.9
bud,0.0,NO,1536353400.0,67.0,62.91,6.91,17.0,5.1
sitka,92.0,US,1536356159.0,94.0,37.17,-99.65,21.73,3.15
chokurdakh,44.0,RU,1536356160.0,84.0,70.62,147.9,8.33,6.2
ovsyanka,92.0,RU,1536356160.0,92.0,53.58,126.91,3.28,5.55
aswan,0.0,EG,1536350400.0,18.0,24.09,32.9,32.0,5.7
toamasina,75.0,MG,1536354000.0,94.0,-18.17,49.38,22.0,2.1
brae,0.0,GB,1536355200.0,93.0,60.4,-1.35,14.0,1.0
iqaluit,75.0,CA,1536354000.0,78.0,63.75,-68.52,13.0,5.7
port elizabeth,75.0,US,1536354480.0,88.0,39.31,-74.98,29.4,2.1
hearst,0.0,CA,1536356163.0,44.0,49.69,-83.67,12.53,3.25
ocean city,1.0,US,1536353760.0,71.0,30.44,-86.61,33.3,2.6
lae,40.0,PG,1536354000.0,94.0,-6.72,146.98,23.0,1.5
birin,36.0,SY,1536356165.0,70.0,35.01,36.67,21.83,4.8
port lincoln,24.0,AU,1536356166.0,100.0,-34.72,135.86,10.83,6.55
ahtopol,0.0,BG,1536354000.0,88.0,42.1,27.94,20.0,2.6
mvuma,100.0,ZW,1536356167.0,33.0,-19.28,30.53,23.88,2.9
ossora,92.0,RU,1536356168.0,100.0,59.24,163.07,11.13,1.75
aracati,88.0,BR,1536355908.0,39.0,-4.56,-37.77,31.68,5.1
makat,76.0,KZ,1536356169.0,30.0,47.65,53.35,18.23,4.8
longyearbyen,40.0,NO,1536353400.0,100.0,78.22,15.63,3.0,7.2
antofagasta,20.0,CL,1536354000.0,62.0,-23.65,-70.4,15.0,6.2
salalah,75.0,OM,1536353400.0,94.0,17.01,54.1,24.0,1.0
riyadh,0.0,SA,1536354000.0,23.0,24.63,46.72,31.0,1.5
kortkeros,0.0,RU,1536354000.0,93.0,61.81,51.56,13.0,2.0
ilhabela,0.0,BR,1536356172.0,98.0,-23.78,-45.36,20.63,6.0
bayir,0.0,TR,1536353400.0,73.0,37.27,28.22,22.0,2.6
pitimbu,0.0,BR,1536354000.0,69.0,-7.47,-34.81,25.0,5.1
kuzino,64.0,RU,1536356174.0,87.0,57.02,59.44,10.68,2.35
seoul,0.0,KR,1536354000.0,82.0,37.57,126.98,18.0,1.0
bocas del toro,20.0,PA,1536356174.0,100.0,9.33,-82.25,27.38,1.75
touros,0.0,BR,1536356175.0,72.0,-5.2,-35.46,25.83,8.8
yumen,44.0,CN,1536356175.0,46.0,40.29,97.04,7.53,3.4
pauini,48.0,BR,1536356176.0,32.0,-7.71,-67.0,35.13,1.7
taltal,0.0,CL,1536356176.0,70.0,-25.41,-70.49,18.03,1.65
yaan,44.0,NG,1536356177.0,96.0,7.38,8.57,21.18,1.45
rocha,0.0,UY,1536356177.0,50.0,-34.48,-54.34,17.63,3.2
jinchang,0.0,CN,1536356178.0,78.0,38.52,102.19,4.83,1.4
deniliquin,0.0,AU,1536356178.0,87.0,-35.53,144.96,4.83,1.65
carballo,0.0,ES,1536354000.0,72.0,43.21,-8.69,18.0,2.1
narasannapeta,88.0,IN,1536356179.0,91.0,18.42,84.04,22.93,0.85
paagahan,75.0,PH,1536354000.0,100.0,14.44,121.4,25.0,2.6
port augusta,0.0,AU,1536354000.0,80.0,-32.49,137.76,4.0,3.6
namibe,8.0,AO,1536356180.0,98.0,-15.19,12.15,17.38,0.7
san juan,40.0,PR,1536353760.0,74.0,18.47,-66.12,30.0,7.2
synya,92.0,RU,1536356182.0,81.0,65.37,58.04,13.03,5.0
north bend,75.0,US,1536355440.0,68.0,43.41,-124.22,18.0,5.1
semnan,0.0,IR,1536356184.0,28.0,35.58,53.39,19.53,2.3
los llanos de aridane,20.0,ES,1536354000.0,69.0,28.66,-17.92,23.0,5.1
vershino-shakhtaminskiy,0.0,RU,1536356185.0,55.0,51.3,117.89,-1.62,1.7
palmer,75.0,US,1536353760.0,59.0,61.6,-149.11,17.2,2.1
krasnoarmeysk,0.0,RU,1536354000.0,76.0,56.12,38.15,14.0,1.0
mabaruma,48.0,GY,1536356186.0,77.0,8.2,-59.78,29.53,3.65
chimbote,24.0,PE,1536356187.0,78.0,-9.08,-78.59,19.68,3.65
khani,75.0,GE,1536354000.0,94.0,41.96,42.96,20.0,3.6
mar del plata,20.0,AR,1536356134.0,40.0,-46.43,-67.52,12.98,4.6
guarapari,75.0,BR,1536354000.0,60.0,-20.67,-40.5,23.0,5.1
iisalmi,0.0,FI,1536355200.0,87.0,63.56,27.19,14.0,1.5
sarreguemines,0.0,FR,1536355200.0,87.0,49.11,7.07,14.2,2.6
oistins,20.0,BB,1536354000.0,74.0,13.07,-59.53,29.0,6.2
morondava,32.0,MG,1536356190.0,82.0,-20.3,44.28,24.23,3.2
samarai,80.0,PG,1536356191.0,98.0,-10.62,150.67,25.68,7.0
parnamirim,20.0,BR,1536354000.0,65.0,-5.92,-35.27,26.0,6.2
piedras negras,75.0,MX,1536352800.0,66.0,28.7,-100.52,29.0,2.6
yulara,0.0,AU,1536354000.0,45.0,-25.24,130.99,7.0,3.6
carnarvon,92.0,ZA,1536356192.0,100.0,-30.97,22.13,0.13,4.2
ampanihy,0.0,MG,1536356193.0,68.0,-24.69,44.75,18.93,2.75
chimoio,0.0,MZ,1536354000.0,49.0,-19.11,33.48,23.0,2.75
mananjary,0.0,MG,1536356194.0,87.0,-19.16,46.8,10.58,2.85
sunndalsora,0.0,NO,1536355200.0,59.0,62.68,8.55,16.0,9.8
nexo,76.0,DK,1536355200.0,77.0,55.06,15.13,18.0,8.2
svobodnyy,0.0,RU,1536356195.0,43.0,53.85,40.53,14.53,4.1
linjiang,0.0,CN,1536356196.0,97.0,41.81,126.91,8.03,1.4
muzhi,92.0,RU,1536356197.0,84.0,65.4,64.7,9.48,4.95
constantine,40.0,DZ,1536354000.0,77.0,36.36,6.61,21.0,1.5
florence,20.0,US,1536354240.0,52.0,34.8,-87.68,32.2,4.6
amga,76.0,RU,1536356199.0,74.0,60.89,131.98,1.03,2.5
georgetown,20.0,GY,1536354000.0,62.0,6.8,-58.16,31.0,5.1
russell,0.0,AR,1536354000.0,46.0,-33.01,-68.8,21.0,3.6
bethel,1.0,US,1536353580.0,68.0,60.79,-161.76,11.1,7.2
opuwo,0.0,NA,1536356202.0,58.0,-18.06,13.84,12.73,1.5
tessalit,12.0,ML,1536356202.0,25.0,20.2,1.01,27.93,0.8
yuanping,0.0,CN,1536356203.0,78.0,38.72,112.71,2.03,1.2
istanbul,0.0,TR,1536353400.0,78.0,41.01,28.95,24.0,2.1
colares,0.0,PT,1536354000.0,72.0,38.8,-9.45,20.0,4.1
paracuru,40.0,BR,1536354000.0,78.0,-3.41,-39.03,27.0,5.7
lagos,40.0,NG,1536354000.0,94.0,6.46,3.39,25.0,1.0
dunedin,0.0,NZ,1536356205.0,92.0,-45.87,170.5,-1.77,1.85
jutiapa,36.0,GT,1536356206.0,82.0,14.29,-89.9,23.38,1.05
kapiri mposhi,20.0,ZM,1536356206.0,35.0,-13.97,28.68,23.28,4.55
okhotsk,92.0,RU,1536356207.0,100.0,59.36,143.24,12.53,7.05
teya,75.0,MX,1536353160.0,59.0,21.05,-89.07,33.0,6.2
hokitika,0.0,NZ,1536356207.0,100.0,-42.72,170.96,7.28,3.55
medea,20.0,DZ,1536354000.0,78.0,36.27,2.77,24.0,3.1
myitkyina,92.0,MM,1536356002.0,97.0,25.38,97.4,23.83,0.95
kamenka,0.0,RU,1536356209.0,57.0,53.19,44.05,12.28,3.05
nemuro,92.0,JP,1536356209.0,92.0,43.32,145.57,17.73,7.25
kaitangata,12.0,NZ,1536356210.0,68.0,-46.28,169.85,1.33,2.95
salym,0.0,RU,1536356210.0,72.0,60.06,71.48,11.18,2.7
hwange,56.0,ZW,1536356211.0,23.0,-18.35,26.5,27.03,4.75
pevek,0.0,RU,1536356211.0,78.0,69.7,170.27,10.38,5.4
junction city,90.0,US,1536354120.0,84.0,39.03,-96.83,22.8,4.1
hualmay,20.0,PE,1536356213.0,62.0,-11.1,-77.61,20.98,2.9
misratah,12.0,LY,1536356213.0,81.0,32.38,15.09,28.63,5.2
chumphon,88.0,TH,1536356214.0,78.0,10.5,99.18,25.83,2.6
platanos,0.0,GR,1536353400.0,73.0,35.47,23.6,25.0,6.7
abadiania,40.0,BR,1536350400.0,20.0,-16.2,-48.71,29.0,5.1
ust-tsilma,68.0,RU,1536356215.0,100.0,65.44,52.15,12.13,3.6
songjianghe,0.0,CN,1536356216.0,97.0,42.18,127.48,8.03,1.4
walvis bay,0.0,NA,1536356216.0,100.0,-22.95,14.51,13.23,9.5
matagami,88.0,NG,1536356217.0,99.0,9.67,8.4,19.63,1.75
kapuskasing,20.0,CA,1536354000.0,33.0,49.42,-82.43,14.0,7.2
rawson,20.0,AR,1536356044.0,28.0,-43.3,-65.11,14.43,4.25
avera,75.0,US,1536353700.0,50.0,33.19,-82.53,35.6,2.1
iquique,75.0,CL,1536354000.0,67.0,-20.22,-70.14,17.0,5.1
valentin gomez farias,75.0,MX,1536353280.0,72.0,24.05,-104.7,19.0,1.0
alvdal,48.0,NO,1536355200.0,87.0,62.11,10.63,10.0,1.0
mahebourg,20.0,MU,1536354000.0,64.0,-20.41,57.7,22.0,5.7
beira,0.0,ES,1536354000.0,72.0,43.2,-8.36,18.0,2.1
ballina,75.0,IE,1536355800.0,100.0,54.11,-9.15,11.0,3.1
aranos,0.0,NA,1536356222.0,32.0,-24.14,19.11,7.18,5.2
vao,76.0,EE,1536356222.0,89.0,59.1,26.19,15.93,1.8
husavik,20.0,CA,1536356223.0,47.0,50.56,-96.99,19.53,5.55
bandar-e anzali,0.0,IR,1536354000.0,88.0,37.47,49.46,21.0,0.9
msowero,75.0,TZ,1536350400.0,94.0,-6.53,37.2,21.0,1.75
gamba,32.0,CN,1536356224.0,84.0,28.28,88.52,-1.97,0.95
acapulco,20.0,MX,1536352800.0,70.0,16.86,-99.88,31.0,3.1
te anau,24.0,NZ,1536356226.0,95.0,-45.41,167.72,0.88,1.35
inhambane,0.0,MZ,1536356226.0,83.0,-23.87,35.38,24.13,8.1
cortland,1.0,US,1536353760.0,61.0,42.6,-76.18,22.2,4.1
ketchikan,90.0,US,1536353760.0,77.0,55.34,-131.65,16.7,7.7
labuhan,8.0,ID,1536356227.0,89.0,-2.54,115.51,20.78,1.35
lac-megantic,1.0,CA,1536354900.0,52.0,45.58,-70.88,21.0,2.6
gorodishche,0.0,RU,1536356228.0,76.0,53.27,45.7,9.73,1.15
villamontes,0.0,BO,1536350400.0,23.0,-21.26,-63.47,36.0,1.3
san carlos del zulia,0.0,VE,1536356229.0,74.0,9.0,-71.91,30.48,1.6
vercelli,40.0,IT,1536353400.0,77.0,45.33,8.42,22.0,1.0
vila velha,40.0,BR,1536354000.0,78.0,-3.71,-38.6,27.0,5.7
mandla,92.0,IN,1536356231.0,98.0,22.6,80.37,21.23,5.0
sobolevo,56.0,RU,1536356231.0,68.0,54.43,31.9,15.93,4.15
berlevag,0.0,NO,1536353400.0,86.0,70.86,29.09,4.0,2.1
selikhino,48.0,RU,1536356232.0,100.0,50.37,137.51,9.83,4.75
pozoblanco,0.0,ES,1536354000.0,50.0,38.38,-4.85,25.0,2.6
marawi,0.0,PH,1536356233.0,96.0,8.0,124.29,17.98,0.6
binzhou,0.0,CN,1536356233.0,73.0,37.38,117.96,13.93,2.05
